Title,Company,Application link
"Analyst, Financial Control",Morgan McKinley,https://hk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CSte6oGGtDxh-7fhYpl3JUF32xG07cYNaxIIfxptA_Wgi2_nEAFSrMbNj1WHu8bczw7F7Ph1PIeeZaNkaZ0-w2Ga0ifZAIf129BTMZZ-SW4_Ill_qYHCx8NQEgNUEXARmq6R1KA95yQoupCsQRDWDnTGJKayjqP9w3bB1dwEGAJ8gDt5Ya-IvM0rImd_JPoUN3XnRMp5hFnolG13XH9JJwiUGXP7BnuucJxi9idocktgTzDzwkOFyQnepcPn2FvV4rez_LDGqBDEd2L6z8YAxSW5vo5Z7krv2QwTfBuq0FDOGCpmPD4TtFXIbArYr_cN61KDuemkYfkRINfyRo89R8xV0whwc15RF1e4T-YCbJeEnBh2wwuyruHlldsohILtfTCdOifSzCA9Rl5Ax1B3bjlUVn47ZDr7lRflRES_oMnezFm5zCGgkD59_CxtEg2T5G6HwXPkbKt-liKp23u-P_drqdDex964YYI1opFu7PyUSS6dxzQMniHnjIzSosXYADLIX4Goorjic_pdgJhobXKwFcZB0cy-iG_5lB57bI0gQcUb3IXOXpz6butvyxVoP7IOQNTjLpfaMUynBQj0GFi-EE45isPQD9VeDW7lKLWE-pny0jCeH9VeikncUcPBe01MpXNqUR00F3kH21QgvIm_gPHkAH5UB7XKSPdj40noeW-9oUiax4-UIN45WpVvNn71f_1MD4GwtUIInNjVOiV8oB9Bg9oAg=&p=0&fvj=0&vjs=3
Analyst/Associate (Investment/Asset Manager),Spring Professional (Hong Kong) Limited,https://hk.indeed.com/rc/clk?jk=0a328b8f1fd63062&fccid=5b9b13c05b84001b&vjs=3
Credit Risk Analyst - Top European Bank!,Michael Page HK,https://hk.indeed.com/rc/clk?jk=a00b7f86e71a817e&fccid=77087bd1709a8148&vjs=3
"Regional Financial Reporting Analyst (listed MNC, HKD45k)",Ambition,https://hk.indeed.com/rc/clk?jk=5c53421ad0a12b3c&fccid=b27856069e1e7a34&vjs=3
"Analyst, Investment Liaisons",T. Rowe Price,https://hk.indeed.com/rc/clk?jk=fa160c614edab64a&fccid=65c89b6d6455eedf&vjs=3
Technical Analyst Top financial Institution,SIRIUS Partners Ltd,https://hk.indeed.com/rc/clk?jk=60fee6cce437a918&fccid=5d898ab80c3f3e38&vjs=3
Financial Senior System Analyst/ System Analyst (New tech!!),JustOneGalaxy Recruitment,https://hk.indeed.com/company/JustOneGalaxy-Recruitment/jobs/Financial-Senior-System-Analyst-b4face4b422a8fff?fccid=b2d8975fb1e10a18&vjs=3
"Analyst, FIG Investment Banking - Global Banking & Markets",HSBC,https://hk.indeed.com/rc/clk?jk=1ed1437893e9fada&fccid=04c9b139c84ea1b5&vjs=3
"Senior Financial Analyst, AMEA",FedEx Logistics APAC,https://hk.indeed.com/rc/clk?jk=c810b42bbc4e25bb&fccid=c10d511b96782b65&vjs=3
Associate / Analyst - Credit Risk,Macquarie Group Limited,https://hk.indeed.com/rc/clk?jk=1907b0471e251a6d&fccid=c4fbc8d763b3f3b5&vjs=3
